Year,Month,Month Code,Avg Daily Precipitation (mm),Avg Daily Sunlight (KJ/m²),Relative Humidity Mean (%),Avg Daily Max Air Temperature (F),Avg Daily Min Air Temperature (F)
2021,1,1.0,0.3161290322580645,12.323225806451612,48.903225806451616,68.03548387096774,36.53548387096774
2021,2,2.0,0.0,17.1,32.357142857142854,73.02142857142857,40.146428571428565
2021,3,3.0,0.11290322580645161,20.80258064516129,33.774193548387096,76.59677419354838,43.86129032258064
2021,4,4.0,0.0,24.567333333333334,21.433333333333334,89.40666666666667,55.89333333333333
2021,5,5.0,0.1870967741935484,28.822903225806453,17.93548387096774,95.98387096774194,61.45483870967742
2021,6,6.0,0.0,28.127,20.466666666666665,106.75666666666666,74.04333333333334
2021,7,7.0,4.567741935483871,22.993548387096773,51.064516129032256,102.05806451612904,78.57096774193549
2021,8,8.0,2.329032258064516,23.490000000000002,50.16129032258065,101.94193548387096,75.7741935483871
2021,9,9.0,0.09333333333333332,20.589333333333332,45.166666666666664,99.48333333333333,71.68666666666667
2021,10,10.0,0.09032258064516129,17.919354838709676,38.064516129032256,87.26451612903226,53.564516129032256
2021,11,11.0,0.0,13.372333333333334,38.2,82.86,45.62
2021,12,12.0,0.8516129032258065,10.34483870967742,59.96774193548387,69.33548387096775,41.270967741935486
2022,1,1.0,0.09032258064516129,12.928387096774193,52.806451612903224,68.74516129032257,36.16129032258065
2022,2,2.0,0.18928571428571428,16.965,35.82142857142857,71.2,35.017857142857146
2022,3,3.0,0.2387096774193548,21.22483870967742,28.483870967741936,79.45806451612903,44.148387096774194
2022,4,4.0,0.0,26.612666666666666,21.066666666666666,89.36666666666666,53.72
2022,5,5.0,0.0,29.37,16.870967741935484,97.21612903225805,61.62903225806452
2022,6,6.0,0.8133333333333332,28.008,26.666666666666668,105.28666666666666,74.30333333333333
2022,7,7.0,1.0096774193548388,25.664193548387097,37.83870967741935,105.42258064516129,79.76129032258065
2022,8,8.0,0.4935483870967742,23.03516129032258,48.064516129032256,102.20967741935483,79.10645161290321
2022,9,9.0,1.1533333333333333,20.964666666666666,46.03333333333333,100.23333333333333,73.59333333333333
2022,10,10.0,0.9935483870967742,17.693548387096776,45.806451612903224,87.05483870967741,58.66129032258065
2022,11,11.0,0.21333333333333332,13.682333333333334,46.733333333333334,71.56,39.580000000000005
2022,12,12.0,1.764516129032258,10.236451612903226,73.54838709677419,64.63870967741936,38.903225806451616
2023,1,1.0,0.8451612903225806,11.57,68.96774193548387,62.92903225806452,37.599999999999994
2023,2,2.0,0.6464285714285715,15.450357142857143,52.214285714285715,67.31785714285715,37.25714285714286
2023,3,3.0,0.7806451612903226,18.919354838709676,49.096774193548384,72.58387096774193,45.145161290322584
2023,4,4.0,0.0,26.221999999999998,22.866666666666667,88.17666666666668,50.38
2023,5,5.0,0.05806451612903226,28.646774193548385,25.387096774193548,94.19354838709677,61.60645161290322
2023,6,6.0,0.0,30.150666666666666,18.533333333333335,100.47666666666667,64.66666666666667
2023,7,7.0,0.00967741935483871,27.19516129032258,25.129032258064516,110.99354838709678,82.24516129032257
2023,8,8.0,0.9161290322580645,23.293225806451613,35.87096774193548,106.23225806451612,79.88387096774194
2023,9,9.0,0.01,21.440333333333335,33.36666666666667,100.79333333333334,69.18
2023,10,10.0,0.0,18.06935483870968,33.483870967741936,92.6032258064516,58.0
2023,11,11.0,0.4066666666666666,13.242666666666668,44.36666666666667,79.06333333333333,47.413333333333334
2023,12,12.0,1.1709677419354838,11.176451612903227,62.806451612903224,69.81935483870969,39.08064516129032
2024,1,1.0,1.2935483870967743,11.419032258064517,66.70967741935483,64.64193548387097,37.10322580645161
2024,2,2.0,1.193103448275862,14.951379310344826,66.24137931034483,70.03793103448275,42.47931034482759
2024,3,3.0,0.9580645161290322,19.50032258064516,53.61290322580645,74.4483870967742,45.148387096774194
2024,4,4.0,0.05,25.922,32.1,85.15,51.02333333333333
2024,5,5.0,0.00967741935483871,28.746451612903225,18.64516129032258,95.42258064516129,60.725806451612904
2024,6,6.0,0.16333333333333336,27.283,24.833333333333332,106.77333333333333,74.89333333333335
2024,7,7.0,0.2032258064516129,26.730645161290322,34.70967741935484,109.58387096774193,81.68709677419355
2024,8,8.0,0.6612903225806451,23.753225806451614,39.25806451612903,105.74838709677418,78.10645161290323
2024,9,9.0,0.0,22.50766666666667,27.6,103.82,71.2
2024,10,10.0,0.025806451612903226,17.8341935483871,29.483870967741936,95.67096774193548,57.351612903225806
2024,11,11.0,0.043333333333333335,13.590666666666667,37.86666666666667,75.13666666666667,39.32666666666667
2024,12,12.0,0.0,13.23,41.0,77.5,39.0
