Year,County,Month Code,Wind Speed (m/s)
2013,Maricopa,07,3.0198789725615125
2013,Maricopa,08,2.8128783180123076
2013,Maricopa,09,3.3315367623834407
2013,Maricopa,10,3.568316293410254
2013,Maricopa,11,3.560790591940307
2013,Maricopa,12,3.514972169823932
2014,Maricopa,01,3.5115184124638255
2014,Maricopa,02,3.336355244704399
2014,Maricopa,03,3.5348083517527527
2014,Maricopa,04,3.5151898147930174
2014,Maricopa,05,3.538506621468744
2014,Maricopa,06,3.558946917567928
2014,Maricopa,07,3.0758275345942407
2014,Maricopa,08,2.8684290295753643
2014,Maricopa,09,2.925161622053197
2014,Maricopa,10,3.128349985040411
2014,Maricopa,11,3.499423811819827
2014,Maricopa,12,3.537006285756867
2015,Maricopa,01,3.5549653331071904
2015,Maricopa,02,3.5513125621395556
2015,Maricopa,03,3.4014301595998635
2015,Maricopa,04,3.5589229675877423
2015,Maricopa,05,3.506334303979873
2015,Maricopa,06,3.0877418137901893
2015,Maricopa,07,3.1249218543559474
2015,Maricopa,08,2.9038743085145464
2015,Maricopa,09,2.970472018065697
2015,Maricopa,10,3.498710881177425
2015,Maricopa,11,3.5159533571258406
2015,Maricopa,12,3.4842268214918715
